fips	year	pm25
51005	2006	10.12908154
51005	2007	11.60157898
51005	2008	9.143822969
51005	2009	7.392713391
51005	2010	8.412854307
51005	2011	7.779015656
51005	2012	7.431309248
51005	2013	6.502462966
51005	2014	6.633900799
51005	2015	6.146134525
51005	2016	5.332813891
51680	2000	14.21607124
51680	2001	12.63794643
51680	2002	11.14525505
51680	2003	11.63007642
51680	2004	11.57999994
51680	2005	12.36747464
51680	2006	10.94387748
51680	2007	12.04385216
51680	2008	10.22382805
51680	2009	8.205956056
51680	2010	9.237744488
51680	2011	8.388432841
51680	2012	7.710502671
51680	2013	6.899726253
51680	2014	7.47310653
51680	2015	6.967232829
51680	2016	6.147944998
51031	2000	12.76887556
51031	2001	11.91608204
51031	2002	10.47652837
51031	2003	10.60040665
51031	2004	10.79937789
51031	2005	11.42567157
51031	2006	10.41799644
51031	2007	11.4145423
51031	2008	9.542337136
51031	2009	7.602676053
51031	2010	8.800336231
51031	2011	7.80946792
51031	2012	7.351587045
51031	2013	6.611257535
51031	2014	7.283066213
51031	2015	6.587986018
51031	2016	5.597989398
51083	2000	13.0035861
51083	2001	12.27148583
51083	2002	11.48373263
51083	2003	11.17005115
51083	2004	11.58495163
51083	2005	11.93286324
51083	2006	11.64593012
51083	2007	11.95594395
51083	2008	10.39922116
51083	2009	8.045396533
51083	2010	9.255157667
51083	2011	8.524053218
51083	2012	7.873815142
51083	2013	7.164971589
51083	2014	7.718337892
51083	2015	7.112275366
51083	2016	6.351084897
51009	2000	12.68025339
51009	2001	11.44345539
51009	2002	9.885413035
51009	2003	10.35154346
51009	2004	10.29304606
51009	2005	11.2598283
51009	2006	9.818706709
51009	2007	11.11772392
51009	2008	9.405247746
51009	2009	7.222518519
51009	2010	8.638838145
51009	2011	7.577715764
51009	2012	7.198359
51009	2013	6.454568544
51009	2014	6.937762452
51009	2015	6.447158384
51009	2016	5.422490042
51590	2000	15.94999981
51590	2001	14.80000019
51590	2002	13.9000001
51590	2003	13.25
51590	2004	14.4000001
51590	2005	14.94999981
51590	2006	14.10000038
51590	2007	13.95000029
51590	2008	12.3499999
51590	2009	9.949999809
51590	2010	11.1500001
51590	2011	11
51590	2012	10
51590	2013	8.699999809
51590	2014	8.699999809
51590	2015	9.199999809
51590	2016	8.699999809
54055	2000	10.99411117
54055	2001	11.056436
54055	2002	8.935110213
54055	2003	9.33897447
54055	2004	10.98176977
